test_acc,test_loss,train_loss
tensor(0.1190),0.029226959466934203,1566.6572694778442
tensor(0.1905),0.02628726418018341,1370.6696193218231
tensor(0.2383),0.024518365478515627,1226.9003484249115
tensor(0.3264),0.020665135598182678,1099.9161956310272
tensor(0.3653),0.019642257261276243,990.3625092506409
tensor(0.4191),0.01751645668745041,901.2876535654068
tensor(0.4327),0.016904710257053375,832.0463378429413
tensor(0.4291),0.01716457289457321,785.9841250181198
tensor(0.4345),0.016682543277740478,748.4516746997833
tensor(0.4766),0.015504423987865447,716.2247664928436
tensor(0.5055),0.01472183610200882,693.5161638259888
tensor(0.4947),0.015291476702690125,670.8474406003952
tensor(0.4889),0.01605413281917572,659.023351430893
tensor(0.4545),0.017181867456436156,641.2904098033905
tensor(0.4607),0.016612342143058775,626.5137848854065
tensor(0.5081),0.01467878315448761,620.0724753141403
tensor(0.5116),0.014455426275730134,608.8346575498581
tensor(0.5339),0.013833550035953521,601.7359880208969
tensor(0.5239),0.014124282670021058,590.9835397005081
tensor(0.5361),0.013350585567951202,584.1367806196213
tensor(0.5098),0.015106870716810227,581.7586957216263
tensor(0.4924),0.01581213492155075,574.9880800247192
tensor(0.4857),0.015804323506355286,568.9165735244751
tensor(0.5276),0.014308465594053268,567.4710785150528
tensor(0.5586),0.013041957211494445,561.5359899997711
tensor(0.5187),0.014901528584957123,558.2958040237427
tensor(0.5387),0.013930948412418365,554.1734402179718
tensor(0.5521),0.013497254657745362,546.8430025577545
tensor(0.5413),0.013606108713150024,544.0348691940308
tensor(0.5641),0.013159492993354798,547.8392006158829
tensor(0.5261),0.014655190110206604,545.0952188968658
tensor(0.5089),0.015240784585475921,537.0259311199188
tensor(0.5590),0.013267149424552918,537.3620290756226
tensor(0.5889),0.01204149510860443,537.0179026126862
tensor(0.5395),0.013801109385490418,533.7008225917816
tensor(0.5589),0.013174508666992187,530.6985211968422
tensor(0.5718),0.012556170904636383,532.274954020977
tensor(0.5124),0.01527739280462265,527.9047362208366
tensor(0.5609),0.01331089174747467,525.2958742380142
tensor(0.6494),0.009983579242229462,392.1865693926811
tensor(0.6380),0.010614747941493988,371.7325232028961
tensor(0.6174),0.011145398551225661,373.1003831624985
tensor(0.6126),0.01166524498462677,372.4223929643631
tensor(0.6358),0.010654913413524628,376.90014535188675
tensor(0.6237),0.011509399044513702,374.3187359571457
tensor(0.6500),0.01030933336019516,375.3122591972351
tensor(0.6257),0.01137476042509079,367.80473256111145
tensor(0.6141),0.011592304730415344,372.46514081954956
tensor(0.6066),0.011592950558662414,368.0221577882767
tensor(0.6312),0.01116056494116783,365.6981782913208
tensor(0.6368),0.010917446053028107,359.0299451351166
tensor(0.5888),0.012810572636127471,360.17441987991333
tensor(0.5751),0.013122434270381927,358.3974152803421
tensor(0.6294),0.01129116063117981,352.77138459682465
tensor(0.6172),0.011342569369077682,351.8878530263901
tensor(0.6323),0.011121817964315415,350.93361073732376
tensor(0.6492),0.010369106048345567,349.79036939144135
tensor(0.6274),0.011384260022640228,342.87491822242737
tensor(0.6435),0.010959117662906647,343.46476274728775
tensor(0.6134),0.011919743776321412,340.93670147657394
tensor(0.6106),0.011995675706863404,341.16922867298126
tensor(0.6061),0.012207732844352722,337.8033866882324
tensor(0.6285),0.011565958690643311,337.82515519857407
tensor(0.6103),0.011956213718652724,336.15318727493286
tensor(0.6362),0.01110347719192505,337.43321895599365
tensor(0.6193),0.011825257217884064,331.23310375213623
tensor(0.6325),0.011846377736330032,330.90152034163475
tensor(0.6328),0.0110459836602211,335.46187433600426
tensor(0.6088),0.011984241652488709,327.7386650443077
tensor(0.6298),0.011424130630493164,325.31105440855026
tensor(0.6232),0.011652575397491455,329.20645129680634
tensor(0.6303),0.011201443666219712,326.3399849534035
tensor(0.6118),0.012063404190540314,326.39431408047676
tensor(0.6309),0.011147116941213607,325.90061235427856
tensor(0.6522),0.010580589693784713,321.9545629620552
tensor(0.6339),0.011456462544202805,320.1984751820564
tensor(0.6492),0.010459841656684876,323.50627452135086
tensor(0.6112),0.012182578182220459,319.39365714788437
tensor(0.6226),0.011818228805065155,318.14793202281
tensor(0.7141),0.008562106955051422,198.98644146323204
tensor(0.7086),0.008768517398834228,164.25726196169853
tensor(0.6966),0.009530844414234161,155.05638322234154
tensor(0.6888),0.009370251771807671,158.9141746610403
tensor(0.6790),0.010327988469600678,160.09402203559875
tensor(0.6763),0.010660001409053802,162.85262958705425
tensor(0.6702),0.010443482857942582,165.33053186535835
tensor(0.6837),0.010206825363636016,168.98562294244766
tensor(0.6734),0.010429598844051362,177.99086846411228
tensor(0.6676),0.010698429292440415,174.46347446739674
tensor(0.6748),0.010360753792524338,174.7471967637539
tensor(0.6889),0.00994893491268158,176.86495679616928
tensor(0.6489),0.011823289096355438,171.11947992444038
tensor(0.6670),0.010856927448511123,177.56135421991348
tensor(0.6715),0.011003572171926499,174.58286198973656
tensor(0.6685),0.010716445940732957,176.9601383805275
tensor(0.6766),0.010660934275388717,171.63532274961472
tensor(0.6572),0.011240822106599808,175.98530119657516
tensor(0.6575),0.01127516598701477,172.22276628017426
tensor(0.6607),0.011152300786972045,169.3384346216917
tensor(0.6708),0.010944893652200699,168.85913488268852
